Table 10. All Intervention Matches in single trials that included more than 1 neurodegenerative disorder.,,,,,,,,,,,,jlc,
Drug,Trial,Phase,Diagnosis,Number of Participants,Duration of Trial,Primary Outcome(s),Biomarker Outcome(s),Year Registered,Status,,,,
Cognitive Training,NCT03656107,N/A,"MCI, AD",60,17 m,"Percentage of participants successfully recruited; Percentage of participants able to successfully complete the minimum (15 mins, 3x per week, for 8 weeks) and maximum (30 mins, 5x per week, for 12 weeks) criteria CT program and complete all assessments; Percentage of participants with full bilateral data for CBFv; Percentage of control participants willing to be randomised to waiting list control; Change in cognition score as detected by the Addenbrooke's cognitive examination (ACE-III); Change in functional status - Lawton Instrumental Activities of Daily Living (IADL); Change in mood - Geriatric Depression Scale (GDS-15); Change in quality of life measure - Dementia Quality of Life Measure (DEMQOL); Percentage increase in cerebral blood flow velocity (CBFv) from baseline; Semi-structured interview or focus group constructed around the health belief model to identify the barriers to CT in patients with dementia.; Semi-structured interview or focus group constructed around the health belief model to identify the facilitators to CT in dementia.; Semi-structured interview or focus group constructed around the health belief model to identify how CT programs can be adapted further to support the participation of patients with dementia.; Are there any additional benefits to CT programs not measured by traditional methods as perceived by the patients and their carers?; Semi-structured interview or focus group constructed around the health belief model, to identify the lived experience of the patient and their carer and the impact CT has on them and their life.",,2018,2019; Recruiting,,,behav,
11C-PBR28,NCT02702102,P2,"PD, DLB",5,1 year,Absolute 11C-PBR28 binding (total distribution volume corrected for free fraction in plasma); Relative 11C-PBR28 binding,,2016,2019; Completed,,,biom,
Boston Cognitive Assessment (BoCA),NCT04114994,,"MCI, FTDLD, AD, PD",10000,"through study completion, an average of 1 year",Boston Cognitive Assessment (BoCA),,2019,2019; Recruiting,,,device,
Brainsway H1-Coil Deep TMS System,NCT03665831,N/A,"MCI, AD",28,4 w,Change From Baseline on the Montgomery-Asberg Depression Rating Scale (MADRS); Remission Rates Compared Within Treatment Group; Response Rates Compared Within Treatment Group; Change From Baseline on the Quality of Life Enjoyment and Satisfaction Questionnaire (Q-LES-Q); Change From Baseline on the Neuropsychological Battery; Change in Functional Connectivity between PFC and Limbic Regions; Change in Perfusion within Prefrontal Cortex (PFC) and Posterior Cingulate Cortex (PCC); Change in frontal theta power within the Anterior Cingulate Cortex (ACC),,2018,2019; Recruiting,,,device,
Observational Cohort,NCT04104373,,"ALS, AD, PD, FTDLD",522,5 years,Eye Tracking - Pro Saccade and Anti Saccade; Retinal Nerve Imaging; Gait and Balance; Genomics; Neuropsychology; Neuroimaging,,2019,2019; Completed,,,delete,
RHAPSODY online program and MEET online sessions,NCT03923517,N/A,"AD, FTDLD",20,1 year,Acceptability and usefulness; Feasibility,,2019,2019; Completed,,,behav,
Nautilus NeuroWaveTM System,NCT02333942,,"FTDLD, MCI, AD",41,one year,Sensitivity as a diagnostic aid in detecting Dementia (identified signatures as compared with the clinical assessment made by the PI); Specificity as a diagnostic aid in detecting Dementia (Rate of false positives as compared with the clinical assessment made by the PI); Sensitivity and specificity measures for MCI and Alzheimer's disease (Efficacy and rate of false positives as compared with the clinical assessment made by the PI); Sensitivity and specificity measures between MCI and FTDL. (distinguish between MCI and FTDL using efficacy and rate of false positives from the identified signatures as compared with the clinical assessment made by the PI); Sensitivity and specificity measures between FTDL and Alzheimer's disease (distinguish between FTLD and Alzheimer's disease using efficacy and rate of false positives from the identified signatures as compared with the clinical assessment made by the PI),,2015,2019; Completed,,,device,
"Data-Driven Clinical Recommendations, Coached Data-Driven Clinical Recommendations",NCT04082611,N/A,"MCI, AD",60,1 year,NIH ToolBox Cognition Function Battery - Cognitive Function Composite Score; RAVLT (Rey's Auditory Verbal Learning Test) score; Hippocampal Volume; Blood Urine Nitrogen,,2019,2019; Recruiting,,,behav,
"Modified Atkins Diet, NIA Diet for Seniors",NCT02521818,N/A,"AD, MCI",38,12 w,Feasibility for MAD Group; Feasibility for Control Group; Efficacy for Cognition; Efficacy for Function,,2015,2019; Completed,,,suppl,
"Computerized cognitive training, Computerized games",NCT02205710,N/A,"AD, MCI",99,"Baseline, week 5",Change in ratings on cognitive training survey; Change in neural activity; Change in performance on neuropsychological tests; Change in ratings of psychological wellbeing,,2014,2019; Completed,,,device,
"Electrical Brainstem Responses, Olfactory Tests, Visual Deprivation",NCT02761707,,"PD, PSP, AD, MSA",54,20 Minutes,"Latency, amplitude, and area under the curve of brainstem reflex response; Score on the University of Pennsylvania Smell Identification Test; Score on the Odor Discrimination/Memory Test; Score on an Odor Detection Threshold Test",,2016,2019; Completed,,,biom,
Allopregnanolone injection (intravenous solution),NCT02221622,P1,"AD, MCI",24,Baseline and Week 13,Safety profile: Adverse events; Safety profile: Clinical laboratory measurements; Safety profile: ARIA; Safety profile: Physical and neurological examination; Tolerability - Maximum tolerated dose (MTD); Pharmacokinetic profile after single and multiple doses: Maximum Concentration (Cmax); Pharmacokinetic profile after single and multiple doses: time attain to Cmax (Tmax); Pharmacokinetic profile after single and multiple doses: Area under the curve (AUC); Pharmacokinetic profile after single and multiple doses: Drug Clearance (CL); Pharmacokinetic profile after single and multiple doses: apparent volume of distribution at steady state (Vss); Cognitive tests (ADAS-Cog; MMSE/MoCA; ADCS-CGIC; CogState); Brain MRI volumetrics,,2014,2019; Completed,,,drug,
VX-745,NCT02423122,P2,"MCI, AD",16,Day 84,Number of 11C-PiB Responders; Percent Change From Baseline in Amyloid Plaque Burden by 11C-PiB PET; Wechsler Memory Scale (WMS) Delayed Recall Composite; Wechsler Memory Scale (WMS) Immediate Recall Composite,,2015,2019; Completed,,,drug,
"Verubecestat 12 mg (Parts 1 and 2), Verubecestat 40 mg (Parts 1 and 2)",NCT01953601,P3,"AD, MCI",1454,Baseline and Week 104 in Part 1,Part 1 (Base Study). Mean Percent Change From Baseline in Cerebrospinal Fluid (CSF) Total Tau Concentration at Week 104; Part 1 (Base Study). Least Squares Mean Change From Baseline in Alzheimer's Disease Cooperative Study-Activities of Daily Living Inventory (Mild Cognitive Impairment Version) (ADCS-ADL MCI) Score at Week 104; Part 1 (Base Study). Least Squares Mean Change From Baseline in Composite Cortical Amyloid Standard Uptake Value Ratio (SUVR) Assessed With Amyloid Tracer [18F]Flutemetamol Using Positron Emission Tomography (PET) Imaging at Week 104; Part 1 (Base Study). Least Squares Mean Percent Change From Baseline in Total Hippocampal Volume (THV) at Week 104; Part 1 (Base Study). Least Squares Mean Change From Baseline in the 3-Domain Composite Cognition Score (CCS-3D) at Week 104; Part 1 (Base Study). Estimated Least Squares Mean Difference Between the Last (Week 104) and First (Week 13) Post-dose CDR-SB Assessment; Part 1 (Base Study). Event-Rate Per 100 Participant Years for Progression to a Clinical Diagnosis of Probable AD Dementia; Part 2 (Extension Study). Percentage of Participants Who Discontinued From Study Drug Due to an Adverse Event (AE); Part 2 (Extension Study). Percentage of Participants Who Experienced ≥1 Adverse Event (AE); Part 1 (Base Study). Percentage of Participants Who Discontinued From Study Drug Due to an Adverse Event (AE); Part 1 (Base Study). Percentage of Participants Who Experienced ≥1 Adverse Event (AE); Part 2 (Extension Study). Mean Change From Baseline in Clinical Dementia Rating Sum of Boxes (CDR-SB) Score at Week 130; Part 1 (Base Study). Least Squares Mean (LSM) Change From Baseline in Clinical Dementia Rating Sum of Boxes (CDR-SB) Score at Week 104,,2013,2019; Terminated,,,drug,
"MK-4334, Donepepzil",NCT03740178,P1,"MCI, AD",12,"Day 14: Pre-dose and 0.5, 1, 2, 3, 4, 6, 8, 12, 24, 48, 120, 240, 360, and 480 hours after MK-4334 administration",Number of Participants Experiencing an Adverse Event (AE); Number of Participants Discontinuing Study Treatment due to an Adverse Event; Plasma Steady State Concentration at 24 Hours (C24) of MK-4334; Plasma Steady State Area Under the Concentration-Time Curve from 0 to 24 hours (AUC0-24) of MK-4334; Plasma Steady State Maximum Concentration (Cmax) of MK-4334; Plasma Steady State Apparent Half-Life (t1/2) of MK-4334; Plasma Steady State Time to Maximum Concentration (Tmax) of MK-4334; Plasma Steady State Apparent Clearance (CL/F) of MK-4334; Plasma Steady State Apparent Volume of Distribution (Vz/F) of MK-4334,,2018,2019; Not yet recruiting,,,drug,
"Amyvid PET Scan, T807 PET scan",NCT02266563,,"MCI, CTE",46,2 years,Uptake of [18F]T807 in the brain; Uptake of [18F]AV-45 in the brain; Neuropsychological data composite score,,2014,2019; Completed,,,biom,
Observational Study,NCT02964611,,"FTDLD, PD, AD",120,"one time visit, through study completion of 3 years","Personality via the Interpersonal Adjectives Scales and differences between AD, PD, and FTLD; Personality via the Behaviour Inhibition/Approach Scale (BIS/BAS) and differences between AD, PD, and FTLD; Personality via the Big Five Inventory (BFI) and differences between AD, PD, and FTLD; Social cognition via Social Norms Questionnaire and differences between AD, PD, and FTLD; Social cognition via Interpersonal Reactivity Index (IRI) and differences between AD, PD, and FTLD; Social cognition via Revised Self-Monitoring Scale (RSMS) and differences between AD, PD, and FTLD; Social cognition via Social Behaviour Observer Checklist and differences between AD, PD, and FTLD; Neuropsychiatric Inventory (NPI) and differences between AD, PD, and FTLD; Clinical Dementia Rating Scale (CDR) and differences between AD, PD, and FTLD; Functional Activities Questionnaire (FAQ) and differences between AD, PD, and FTLD; Behavioural Tests composite score and differences between AD, PD, and FTLD; Emotion Evaluation Task (EET) portion of The Awareness of Social Inference Test and differences between AD, PD, and FTLD; Geriatric Depression Scale (GDS) and differences between AD, PD, and FTLD; Neuroimaging and differences between AD, PD, and FTLD",,2016,2019; Recruiting,,,biom,delete
Observational Study,NCT02964637,,"FTDLD, PSP, ALS",100,One time visit through study completion of 5 years,Structural and Functional Diffferences between the FTLD groups via MRI of the brain; Differences between the FTLD groups via PET imaging of the brain,,2016,2019; Recruiting,,,biom,delete
"davunetide (AL-108, NAP)",NCT01056965,P1,"PSP, CBD, FTDLD",12,12 w,"Safety evaluations will be performed by recording clinical adverse events at each study visit. Clinical laboratory, ECGs, physical examinations will be conducted.; PSP Rating Scale; Clinician's Global Impression (CGI-ds); Schwab and England Activities of Daily Living scale (SEADL); MRI brain ventricular volume; Repeatable Battery for the Assessment of Neuropsychological Status (RBANS); Unified Parkinson's Disease Rating Scale (UPDRS); Neuropsychiatric Inventory (NPI); Geriatric Depression Scale (GDS); CSF biomarkers will assess total tau, phosphorylated tau, and amyloid beta peptide (1-42); Saccadic Eye movements - vertical and horizontal total saccade time; Clinical Dementia Rating (CDR); Functional Activities Questionnaire (FAQ)",,2010,2019; Completed,,,drug,
[123I]CLINDE,NCT00612872,P1,"AD, PD",46,6 mos,"To assess the dynamic uptake and washout of 123-I CLINDE, using single photon emission computed tomography (SPECT) in similarly aged healthy controls and subjects with Alzheimer (AD) or Parkinson disease (PD).",,2008,2019; Terminated,,,biom,
[18F] PBR06,NCT01028209,P1,"AD, PD",12,1 year,"To evaluate [18F] PBR06 PET imaging as a tool to detect microglial activation in the brain of AD, PD and MS research participants.",,2009,2019; Terminated,,,biom,
Neuropsychological tests,NCT03900936,,"AD, MCI",20,3 years,Predicting progression; Social Characteristics and questionnaires,,2019,2019; Recruiting,,,device,
Nelotanserin,NCT02871427,P2,"PD, DLB",80,24 w,"Long-term safety and tolerability will be evaluated based on incidence of adverse events (AEs) and significant changes in physical examinations, vital signs, ECGs, and clinical laboratory assessments over time during treatment.; Long-term effectiveness will be evaluated based on change in the frequency and severity of visual hallucinations (as recorded by patient's caregiver) and/or REM sleep behaviors (based on a clinical evaluator) over time during treatment.",,2016,2019; Terminated,,,drug,
